HUGO_symbols,TCGA-AF-2687-01A-02R-1736-07,TCGA-AF-2690-01A-02R-1736-07,TCGA-AF-2691-01A-01R-0821-07,TCGA-AF-2692-01A-01R-0821-07,TCGA-AF-2693-01A-02R-1736-07,TCGA-AF-3400-01A-01R-0821-07,TCGA-AF-3913-01A-02R-1119-07,TCGA-AF-4110-01A-02R-1736-07,TCGA-AF-5654-01A-01R-1660-07,TCGA-AF-6136-01A-11R-1830-07,TCGA-AF-6655-01A-11R-1830-07,TCGA-AF-6672-01A-11R-1830-07,TCGA-AF-A56K-01A-32R-A39D-07,TCGA-AF-A56L-01A-31R-A39D-07,TCGA-AF-A56N-01A-12R-A39D-07,TCGA-AG-3574-01A-01R-0821-07,TCGA-AG-3575-01A-01R-0821-07,TCGA-AG-3578-01A-01R-0821-07,TCGA-AG-3580-01A-01R-0821-07,TCGA-AG-3581-01A-01R-0821-07,TCGA-AG-3582-01A-01R-0821-07,TCGA-AG-3584-01A-01R-0821-07,TCGA-AG-3587-01A-01R-0821-07,TCGA-AG-3591-01A-01R-1736-07,TCGA-AG-3593-01A-01R-0821-07,TCGA-AG-3594-01A-02R-0821-07,TCGA-AG-3598-01A-01R-0826-07,TCGA-AG-3599-01A-02R-0826-07,TCGA-AG-3600-01A-01R-0826-07,TCGA-AG-3602-01A-02R-0826-07,TCGA-AG-3605-01A-01R-0826-07,TCGA-AG-3609-01A-02R-0826-07,TCGA-AG-3611-01A-01R-0826-07,TCGA-AG-3612-01A-01R-0826-07,TCGA-AG-3725-01A-11R-1736-07,TCGA-AG-3726-01A-02R-0905-07,TCGA-AG-3727-01A-01R-0905-07,TCGA-AG-3728-01A-01R-0905-07,TCGA-AG-3732-01A-11R-1660-07,TCGA-AG-3742-01A-11R-1660-07,TCGA-AG-3878-01A-02R-0905-07,TCGA-AG-3881-01A-01R-0905-07,TCGA-AG-3882-01A-01R-0905-07,TCGA-AG-3883-01A-02R-0905-07,TCGA-AG-3885-01A-01R-0905-07,TCGA-AG-3887-01A-01R-1119-07,TCGA-AG-3890-01A-01R-1119-07,TCGA-AG-3892-01A-01R-1119-07,TCGA-AG-3893-01A-01R-1119-07,TCGA-AG-3894-01A-01R-1119-07,TCGA-AG-3896-01A-01R-1119-07,TCGA-AG-3898-01A-01R-1119-07,TCGA-AG-3901-01A-01R-1119-07,TCGA-AG-3902-01A-01R-A32Z-07,TCGA-AG-3909-01A-01R-1119-07,TCGA-AG-3999-01A-01R-1119-07,TCGA-AG-4005-01A-01R-1119-07,TCGA-AG-4008-01A-01R-1119-07,TCGA-AG-4015-01A-01R-1119-07,TCGA-AG-4021-01A-01R-1736-07,TCGA-AG-4022-01A-01R-1736-07,TCGA-AG-A002-01A-01R-A002-07,TCGA-AG-A008-01A-01R-A002-07,TCGA-AG-A00C-01A-01R-A002-07,TCGA-AG-A00H-01A-01R-A00A-07,TCGA-AG-A00Y-01A-02R-A002-07,TCGA-AG-A011-01A-01R-A002-07,TCGA-AG-A014-01A-02R-A002-07,TCGA-AG-A015-01A-01R-A002-07,TCGA-AG-A016-01A-01R-A002-07,TCGA-AG-A01J-01A-01R-A00A-07,TCGA-AG-A01L-01A-01R-A002-07,TCGA-AG-A01N-01A-01R-A00A-07,TCGA-AG-A01W-01A-21R-A083-07,TCGA-AG-A01Y-01A-41R-A083-07,TCGA-AG-A020-01A-21R-A083-07,TCGA-AG-A023-01A-01R-A00A-07,TCGA-AG-A025-01A-01R-A00A-07,TCGA-AG-A026-01A-01R-A00A-07,TCGA-AG-A02G-01A-01R-A00A-07,TCGA-AG-A02X-01A-01R-A00A-07,TCGA-AG-A032-01A-01R-A00A-07,TCGA-AG-A036-01A-12R-A083-07,TCGA-AH-6544-01A-11R-1830-07,TCGA-AH-6547-01A-11R-1830-07,TCGA-AH-6643-01A-11R-1830-07,TCGA-AH-6903-01A-11R-1928-07,TCGA-BM-6198-01A-11R-1736-07,TCGA-CI-6619-01B-11R-1830-07,TCGA-CI-6620-01A-11R-1830-07,TCGA-CI-6621-01A-11R-1830-07,TCGA-CI-6622-01A-11R-1830-07,TCGA-CI-6623-01B-11R-1830-07,TCGA-CI-6624-01C-11R-1830-07,TCGA-CL-4957-01A-01R-1736-07,TCGA-CL-5917-01A-11R-1660-07,TCGA-CL-5918-01A-11R-1660-07,TCGA-DC-4745-01A-01R-A32Z-07,TCGA-DC-4749-01A-01R-1736-07,TCGA-DC-5337-01A-01R-1660-07,TCGA-DC-5869-01A-01R-1660-07,TCGA-DC-6155-01A-11R-1660-07,TCGA-DC-6156-01A-11R-1660-07,TCGA-DC-6157-01A-11R-1660-07,TCGA-DC-6158-01A-11R-1660-07,TCGA-DC-6160-01A-11R-1660-07,TCGA-DC-6681-01A-11R-A32Z-07,TCGA-DC-6682-01A-11R-1830-07,TCGA-DC-6683-01A-11R-1830-07,TCGA-DT-5265-01A-21R-1830-07,TCGA-DY-A0XA-01A-11R-A155-07,TCGA-DY-A1DC-01A-31R-A155-07,TCGA-DY-A1DE-01A-11R-A155-07,TCGA-DY-A1DG-01A-11R-A32Y-07,TCGA-DY-A1H8-01A-21R-A155-07,TCGA-EF-5830-01A-01R-1660-07,TCGA-EF-5831-01A-01R-1660-07,TCGA-EI-6506-01A-11R-1736-07,TCGA-EI-6508-01A-11R-1736-07,TCGA-EI-6509-01A-11R-1736-07,TCGA-EI-6511-01A-11R-1736-07,TCGA-EI-6512-01A-11R-1736-07,TCGA-EI-6513-01A-21R-1736-07,TCGA-EI-6514-01A-11R-1736-07,TCGA-EI-6881-01A-11R-A32Z-07,TCGA-EI-6883-01A-31R-1928-07,TCGA-EI-6884-01A-11R-1928-07,TCGA-EI-6885-01A-11R-1928-07,TCGA-EI-6917-01A-11R-1928-07,TCGA-EI-7004-01A-11R-1928-07,TCGA-F5-6464-01A-11R-1736-07,TCGA-F5-6465-01A-11R-1736-07,TCGA-F5-6702-01A-11R-1830-07,TCGA-F5-6810-01A-11R-1830-07,TCGA-F5-6812-01A-11R-1830-07,TCGA-F5-6813-01A-11R-1830-07,TCGA-F5-6814-01A-31R-1928-07,TCGA-F5-6861-01A-11R-1928-07,TCGA-G5-6235-01A-11R-1736-07,TCGA-G5-6572-01A-11R-1830-07,TCGA-G5-6641-01A-11R-A32Z-07
ACVRL1,875.6918,1318.5237,1332.1397,1824.2972,2676.6201,1996.5543,1067.5791,2431.4705,813.9282,1152.0101,1208.8285,1745.3425,813.7962,438.8679,1532.1472,736.4203,366.4947,1096.0665,1036.7347,2472.9723,1864.9852,2771.4581,951.0404,1435.4781,1568.323,1966.9862,1139.6648,879.754,715.8974,1357.6341,1141.4392,1402.0501,2065.1515,1870.297,1875,2813.9877,2458.6583,3472.2793,1395.4649,701.1719,3525.4659,3488.4106,2472.7273,2139.6761,4289.2977,1585.0254,1726.2705,1278.9933,2933.9525,1540.5694,2412.4424,558.9744,1671.4596,1247.1471,2046.9949,744.3514,1461.3208,1772.475,1155.1601,1733.3581,1558.1601,338.3614,2175.6031,1184.1984,900.9981,1243.5597,1527.6753,702.2769,1467.4556,657.33,3749.0298,1690.4995,1233.7278,1046.798,622.2222,976.8472,2203.9474,1939.2199,1289.4491,951.0386,606.1493,2634.0074,945.8344,924.5103,3519.685,378.5709,989.5038,2047.7652,2399.2726,728.2343,1719.0484,1298.8554,1454.4492,3852.0737,1280.697,667.827,772.3343,1730.3832,1425.7294,1606.5068,621.3218,2871.689,1364.7003,673.1634,1046.8732,1553.1271,1351.4415,788.1449,1156.6886,685.9879,1030.8353,2267.9004,989.3369,573.3203,360.8117,374.7475,1525.0741,3024.7593,783.4893,866.1165,1673.3017,981.7629,824.0561,1099.0087,1056.0876,1255.2936,3136.4653,868.0013,460.0974,2473.5931,715.0645,1091.7901,1109.0458,1685.8522,1215.244,1790.7383,388.8494,939.7151,2717.1959,691.0339,2670.1073
ADAP2,189.868,408.6544,94.897,60.241,121.6055,340.635,58.0337,122.8015,51.6866,65.3266,78.6644,49.8669,154.193,56.2264,84.5127,130.0089,102.1862,100.3627,71.4286,86.3578,71.2166,155.1189,117.5031,120.3518,155.2795,144.8349,90.7821,91.1763,217.4359,86.6575,63.2754,173.1207,71.2121,119.802,32.0946,63.4734,71.7629,117.0431,90.7029,59.082,97.8237,150.6623,115.1515,123.4818,71.9064,85.0254,101.624,126.292,102.1672,62.5721,124.424,139.7436,255.8836,165.8113,94.8716,80.2234,109.434,113.2075,79.8677,152.473,141.9726,107.7658,63.4395,34.0457,74.4537,80.7963,87.3309,48.3571,28.4024,51.9539,63.3894,28.4035,37.4753,173.2348,148.1481,46.7083,95.3947,83.2735,62.5584,51.2536,17.5695,93.4207,81.4438,28.667,175.1969,77.837,40.5534,96.5977,113.9624,78.7386,194.1625,52.9886,72.7401,125.3456,78.773,49.7265,79.0449,100.8212,26.5252,74.6038,69.4645,71.5514,387.3895,48.4758,165.248,133.2456,88.2927,118.0022,82.3999,248.4879,62.6893,66.3389,118.1517,45.6106,55.168,45.4545,95.7913,154.1016,113.8496,126.089,262.8752,82.5011,89.9183,87.2441,64.9795,76.708,183.4452,144.5105,359.6853,347.1861,293.022,202.0315,176.7865,82.8073,149.1155,107.9074,179.3324,62.9347,75.111,63.8126,27.6631
APLN,202.6394,260.0949,120.8594,322.2892,196.473,2124.5385,123.3217,540.3268,182.2633,178.392,425.5801,127.749,753.8323,166.4151,367.9741,195.9038,141.4886,225.3759,85.7143,151.7803,133.5312,302.999,296.2056,216.5304,140.7867,78.8072,136.8715,110.5755,99.4872,165.0619,354.8387,300.6834,75.7576,386.1386,173.9865,543.0502,329.1732,135.5236,23.1293,221.1914,240.1128,283.1126,101.0101,690.2834,403.01,473.3503,144.413,79.2195,78.4314,137.0114,284.5622,178.2051,415.5173,160.9535,72.5489,145.2145,143.3962,184.2397,113.9576,260.3198,146.8377,711.486,261.2216,79.9334,160.7769,93.6768,95.941,191.2303,191.716,150.2146,93.1436,56.8071,75.9369,366.1741,127.572,128.8504,222.5877,120.603,50.4202,81.6261,143.4846,88.8636,174.8328,103.6789,31.4961,427.6613,92.7958,448.8326,189.1291,607.1883,876.0991,255.1929,135.2401,149.3088,238.8602,207.3595,170.166,292.8832,108.3112,141.9156,274.9638,105.9512,128.493,105.947,237.4305,115.339,71.3856,188.2547,83.4299,402.7218,150.1511,112.3801,61.282,307.0132,85.6056,110.6061,49.3183,791.5219,152.7695,455.7542,321.4323,273.5562,237.0572,48.9635,248.29,111.0667,187.0246,241.4764,221.4312,2502.1645,336.1803,56.6583,317.6373,490.531,83.5807,134.5566,345.1705,101.6893,91.4988,40.3877,19.8183
BANK1,36.1856,88.3952,93.1065,24.0964,22.9363,57.1007,1.209,63.6903,1.0881,63.4422,10.1868,131.6711,35.6177,7.9245,57.0158,29.3856,290.8376,110.0468,13.2653,31.4028,19.2878,20.6825,18.3599,77.6629,40.3727,69.2226,64.2458,10.6696,43.0769,16.5062,16.129,69.4761,27.2727,19.802,16.8919,3.5263,17.1607,41.0678,305.6689,10.7422,30.4905,14.9007,6.0606,6.0729,26.7559,35.533,46.8005,64.2941,25.7998,24.8131,34.5622,24.359,85.6858,15.8687,35.7164,27.4181,4.717,51.0544,33.1159,40.1636,138.4343,132.1,32.3417,37.0062,6.4742,16.3934,23.3702,9.8912,41.4201,13.5532,11.6429,5.8766,7.8895,27.9146,15.6379,66.0358,114.0351,6.7002,2.8011,39.8639,8.7848,45.5711,60.8114,82.1787,275.5906,42.8988,88.979,32.0213,33.9463,63.8527,7.8928,10.1738,13.4181,92.6267,51.5473,34.8086,38.4246,15.5109,17.2414,48.801,16.4014,6.8799,19.5844,39.4803,17.2512,18.4332,10.52,190.4501,58.7099,37.8024,16.1779,26.7336,25.0031,38.7445,1.9023,6.5657,13.278,66.3379,20.3693,15.1307,26.9616,44.7243,13.624,28.933,38.6457,27.9664,54.1387,27.8386,131.8846,75.7576,16.809,34.6659,25.6093,8.1693,130.1199,65.0939,13.8494,29.1487,156.1398,61.3893,32.6177
BCL6B,376.3304,360.9858,97.5828,74.2972,202.9644,356.3869,81.0054,178.5826,64.2002,89.8241,191.2847,64.9951,393.5978,123.0189,152.8508,110.4185,91.378,88.0375,71.4286,81.124,83.0861,113.7539,122.399,106.9794,129.3996,77.7423,62.8492,43.6482,51.2821,38.5144,33.4988,148.0638,93.9394,166.3366,57.8547,103.4381,71.7629,125.2567,97.0522,128.418,102.9055,183.7748,117.1717,222.6721,76.9231,95.1777,105.6355,55.1092,139.3189,56.0992,150.9217,194.8718,200.716,59.9123,62.5037,56.8672,149.0566,235.2941,57.4658,223.5032,123.839,140.2114,65.9274,37.0062,127.3267,50.3513,82.4108,56.0503,37.8698,88.0958,42.6908,47.9922,64.1026,89.491,95.4733,84.5581,214.9123,113.9028,83.0999,54.101,26.3543,96.8385,108.5918,31.0559,243.1102,189.2855,44.1317,107.8052,238.432,288.3165,260.8565,114.4553,153.9548,183.4101,135.4025,95.4749,57.6369,185.6752,33.5986,66.7508,154.3657,100.4472,423.2147,202.3988,218.3634,74.2594,106.7026,94.4018,81.8849,121.4718,96.0563,102.9739,143.1548,70.1324,34.8763,60.6061,100.5335,156.9859,114.2134,184.7776,195.05,105.9488,120.6695,64.988,105.6772,73.5118,131.0962,159.8373,189.9588,861.9048,429.7656,241.9159,254.8534,223.9139,247.4178,167.322,178.6222,91.7522,34.1413,212.4394,48.7201
BMP6,134.6147,181.0621,38.3438,24.5382,31.2582,81.8607,24.3742,137.5877,35.0218,57.6005,50.7301,59.8235,55.9919,29.2113,30.5904,42.3954,18.0791,20.592,26.7245,40.9283,31.6024,31.272,21.0894,42.4523,33.4886,38.7646,22.486,13.9383,27.0154,19.7249,35.5335,51.4806,24.6667,52.7525,16.6047,34.1816,26.5523,74.2094,42.3673,47.1533,50.9573,224.106,66.8283,28.4615,28.5619,33.566,67.9543,37.5202,14.7162,40.8337,46.7742,40.3462,74.8283,48.6812,30.4929,57.0297,18.2453,42.7525,17.8047,26.1882,54.8695,14.3108,11.4191,3.0345,13.4125,22.6815,29.1267,84.2293,10.8047,11.4525,14.7348,28.7463,13.2939,24.6634,113.7778,11.661,24.5175,26.4561,22.9225,10.6494,13.5432,18.912,23.5318,8.6957,222.628,48.6172,13.1775,56.1441,64.7161,66.1326,70.597,28.563,29.9294,40.8571,28.8774,26.9567,23.5433,21.948,13.8152,24.9053,29.9904,685.5865,43.6446,11.5242,35.088,41.2693,39.1193,14.989,26.1414,36.9909,24.4842,25.2236,29.6066,12.2168,63.6335,8.1414,19.1156,44.2403,25.5925,15.1994,94.8626,16.1442,18.7816,34.0386,25.578,13.6037,45.7002,34.7826,28.5463,193.8658,46.5746,65.5708,74.1347,53.0115,82.5644,109.6549,38.5263,20.9407,28.1097,36.1753,27.1098
BMX,13.1971,55.9991,31.3339,8.0321,16.4449,28.5503,3.6271,22.8952,2.1763,10.6784,9.0549,252.1362,21.1903,3.7736,4.448,13.3571,7.8605,14.9664,3.0612,17.0099,7.4184,14.4778,4.896,23.1446,0,8.5197,30.7263,8.7296,18.4615,15.1307,8.6849,7.9727,48.4848,5.9406,10.5574,1.1754,1.5601,8.2136,14.059,7.8125,8.8931,9.9338,0,2.0243,3.3445,85.0254,6.6858,66.5903,7.2239,11.8671,8.0645,10.2564,79.8169,22.6695,10.0452,48.7433,5.6604,14.4284,3.896,10.0409,21.6718,4.6351,14.927,8.8815,4.3162,10.5386,8.6101,2.198,30.7692,3.3883,6.4683,10.7738,10.8481,6.5681,3.2922,2.4159,2.193,3.8287,9.3371,2.8474,1.4641,12.532,0,3.3445,24.6063,17.248,109.0172,35.7572,18.1855,114.3864,4.7357,5.5108,6.0028,14.2857,5.4451,26.8523,4.3914,4.562,0.4421,6.1702,6.2711,20.6398,2.866,11.4943,4.5398,1.0533,7.5143,9.3304,4.12,9.5766,12.1334,0.9901,2.9415,0.4904,2.5365,1.5152,2.3711,13.1852,1.8187,16.5062,2.5276,4.7764,4.6711,5.7866,6.8399,5.9928,21.4765,2.5023,2.6227,93.9394,12.7203,9.3188,26.8484,13.368,11.8723,13.543,3.9062,69.8907,9.5596,12.1163,32.2048
CA4,6.3857,41.6522,242.6141,215.8635,1339.8247,188.0384,1.209,1531.8972,6.5288,650.7538,123.9389,281.8322,2.7051,0.3774,0.8087,762.244,9.8256,73.9515,248.9796,2855.04,418.3976,1954.4984,14.6879,115.2086,1556.9358,101.1715,256.9832,583.9161,129.2308,1031.6369,851.1166,362.1868,186.3636,14.8515,438.3446,24.6841,255.8502,673.5113,10.4308,0,2958.8505,16.5563,22.2222,607.2874,1780.9365,63.4518,299.5233,684.2729,694.5304,11.8671,2528.8018,25.641,2.3476,874.3955,1598.3079,164.5088,328.3019,824.6393,438.2985,2.6032,573.64,4.6351,329.6368,26.6445,55.031,485.9485,2653.1365,31.8717,11.8343,141.1791,3734.7995,193.9275,338.2643,36.9458,0,3.2213,305.9211,164.6327,20.5415,70.2364,74.6706,942.1817,42.3508,357.8595,7938.4843,0.4423,562.7385,35.2235,947.2621,7.0512,461.7279,1983.8915,9.5339,2129.4931,128.1423,0,6.5871,154.6533,269.6729,5691.7683,28.9436,24.7678,2.866,20.9895,92.1575,1158.1303,51.097,3.8419,12.875,0,6.5723,3.9605,6.3733,0.4904,0.6341,1.5152,3.7937,1496.9283,560.8823,0,77.0932,625.7056,318.0226,0,473.3242,860.1678,1856.3758,1.8768,1.124,46.7532,55.8786,2.982,194.9608,87.2633,0.4749,0,7.4574,22.1928,5419.8247,0.8078,81.3377
CD160,13.1971,2.314,9.8478,20.0803,5.6259,12.7984,1.209,9.9906,1.6322,5.0251,5.0934,13.4473,7.2137,3.7736,6.0655,4.4524,0.9826,33.4542,7.1429,7.8507,5.9347,2.0683,4.896,5.6576,17.5983,61.7678,2.7933,5.8198,12.3077,12.3796,3.7221,14.8064,3.0303,3.9604,5.4899,8.228,3.1201,16.4271,22.6757,6.8359,2.5409,4.9669,38.3838,6.0729,1.6722,3.8071,10.6973,10.333,3.096,3.2365,2.3041,11.5385,7.0427,44.6913,6.6968,6.0929,4.717,5.5494,5.844,4.4626,12.3839,4.6351,6.2196,7.4012,3.2371,10.5386,6.1501,9.8912,15.3846,5.6472,25.8732,4.8972,13.8067,4.1051,15.6379,4.0266,6.5789,6.7002,9.3371,15.1862,0,21.6463,6.5155,1.4333,20.6693,13.7099,2.8626,6.938,8.8907,12.1438,7.1035,4.2391,3.178,12.4424,2.9041,0.9945,6.0382,2.7372,2.2104,3.3656,1.4472,15.1359,7.165,4.4978,4.9938,3.6866,3.0057,6.5862,1.545,5.5444,3.5389,2.9704,10.2954,4.9044,4.4388,3.5354,4.2679,18.5416,13.0945,5.9606,5.4766,9.5528,5.8388,4.0061,7.1819,10.3875,10.7383,3.4407,4.4961,6.9264,8.1774,2.982,4.9566,5.9413,8.0731,4.3687,11.3636,2.3186,7.7387,2.0194,11.1478
CD19,13.6228,79.1392,22.3814,23.0924,11.6845,6.8915,2.4181,52.0346,0.5441,11.9347,2.2637,39.2212,13.5257,10.566,1.6175,1.7809,3.9302,14.086,11.2245,22.2437,14.8368,12.4095,24.4798,4.1146,25.8799,5.3248,16.7598,5.8198,22.5641,17.8817,27.2953,13.6674,9.0909,20.7921,5.0676,2.3509,4.6802,55.4415,188.6621,0.4883,43.1949,6.6225,58.5859,18.2186,11.7057,8.8832,80.2295,61.9979,4.128,3.2365,21.8894,10.2564,19.9542,15.221,33.4841,3.0465,6.6038,7.7691,15.5839,2.9751,28.7483,0,4.9757,23.684,2.1581,35.1288,47.9705,0,5.9172,4.5177,5.1746,7.8355,7.8895,36.9458,37.8601,6.4425,83.3333,12.4432,4.6685,11.3897,1.4641,23.9248,13.031,21.5002,239.1732,0,4.771,17.0781,16.569,17.628,0,6.3586,1.4124,24.8848,2.5411,1.9891,2.1957,1.8248,12.8205,5.0484,2.8944,1.376,1.9107,2.9985,8.1716,13.1666,1.8786,0.5488,7.725,0.504,4.0445,11.8816,2.9415,2.4522,2.5365,0,2.8453,17.3055,7.6385,0.4585,61.5061,0.8684,3.5033,4.0061,5.814,18.3779,39.821,5.6303,13.4882,25.974,5.9059,28.3291,6.6088,5.9413,44.1648,34.5129,8.5227,2.6499,12.2909,0.4039,0.8258
CD1A,11.92,31.0078,14.3241,5.0201,15.1466,26.5813,6.0452,21.6464,8.161,13.8191,2.2637,10.0854,3.6069,10.566,15.366,6.2333,12.7733,12.3252,19.3878,9.1592,14.8368,24.819,40.3917,28.2878,28.9855,3.1949,4.1899,14.5494,15.3846,6.8776,4.9628,28.4738,4.5455,28.7129,1.6892,5.8772,7.8003,57.4949,5.8957,3.9062,7.6226,36.4238,48.4848,56.6802,33.4448,3.8071,32.0918,8.0368,17.5439,6.473,12.6728,7.6923,71.6004,37.5666,21.2066,5.0774,20.7547,12.2087,14.61,7.0658,41.1322,0,7.4635,5.921,11.8694,3.5129,1.23,0,7.1006,1.1294,3.881,10.7738,8.8757,3.2841,3.2922,2.4159,15.3509,10.5288,1.8674,2.8474,0,11.3928,13.031,0,10.8268,0.4423,7.1565,2.1348,9.6989,12.5355,4.7357,4.2391,2.8249,17.9724,11.2533,10.9398,3.2935,7.2993,11.0522,16.8279,8.6831,20.6398,7.6427,11.994,3.1778,6.8466,11.2714,14.27,5.665,39.3145,1.5167,2.4753,5.3928,2.9426,7.6094,1.0101,6.639,4.9444,2.1824,1.3755,6.3191,3.9079,2.3355,15.5793,2.394,17.1794,6.7114,23.4595,5.6201,8.2251,46.7927,31.6839,6.1958,4.8273,2.3745,6.99,0.7102,11.262,0.9104,0.8078,0.8258
CD1B,6.3857,55.9991,8.0573,8.0321,8.6552,22.6434,0,4.9953,1.0881,3.7688,0.5659,0.5603,4.5086,1.8868,4.448,2.6714,2.9477,5.2822,7.1429,7.8507,2.9674,5.1706,6.12,5.6576,4.1408,1.065,0,4.8498,1.0256,8.2531,1.2407,4.5558,4.5455,8.9109,1.6892,0,6.2402,26.694,4.9887,0,15.2453,23.1788,12.1212,2.0243,6.689,6.3452,13.3716,21.8141,1.032,0,4.6083,3.8462,19.9542,29.4704,4.4645,1.0155,0.9434,4.4395,1.948,0.7438,26.9792,0,0,1.4802,6.4742,2.3419,2.46,2.198,2.3669,1.1294,3.881,2.9383,1.9724,5.7471,27.1605,0,1.0965,0.9572,0.9337,1.8983,0,1.1393,3.2578,0,9.8425,0,2.624,3.2021,1.6165,3.5256,2.7625,0.8478,1.4124,5.9908,0.726,0,0,6.3869,2.6525,2.8047,10.1302,0,5.2544,3.998,0.454,2.6333,1.1271,2.7442,6.18,0.504,0.5056,0,5.3928,0.9809,0,2.5253,0,3.7083,0.3637,0,0.8425,3.0395,0.7785,4.0061,0.342,5.1938,8.9485,6.2559,29.5991,3.0303,9.086,2.982,4.1305,0.7427,1.8996,2.1844,2.4858,2.3186,0.9104,0.8078,0.8258
CD1E,17.4542,109.2213,16.1146,13.0522,15.5794,7.876,8.4633,18.3162,1.6322,28.8945,1.6978,6.7236,16.6817,9.0566,18.1965,10.6857,3.9302,8.8037,10.2041,15.7014,1.4837,27.9214,9.7919,29.3165,25.8799,1.065,5.5866,9.6996,11.2821,23.3838,1.2407,12.5285,10.6061,25.7426,4.6453,7.0526,3.1201,36.961,21.7687,0.4883,10.1635,11.5894,16.1616,8.0972,6.689,2.5381,33.4289,14.9254,8.2559,3.2365,8.0645,6.4103,32.8658,31.4135,11.1614,8.1239,6.6038,11.0988,7.792,2.2313,48.651,0,0,7.4012,5.3952,3.5129,1.23,0,7.1006,3.3883,5.1746,12.7326,11.8343,4.1051,13.9918,0,3.2895,3.8287,2.8011,0,0,7.9749,7.6014,0.4778,33.9567,1.3268,9.3034,0.5337,10.1031,15.2776,6.7089,2.5435,0.7062,20.7373,5.0821,3.9781,1.6468,16.4234,6.6313,7.853,39.5562,0,11.9417,24.9875,1.3619,8.4266,16.9071,12.0746,8.24,9.5766,7.0778,2.9704,11.2759,5.8852,0,2.5253,4.2679,18.1296,5.4561,0.4585,3.3702,7.3817,2.7248,12.9086,5.814,16.7799,17.8971,14.0757,19.1083,1.7316,74.5048,36.5297,11.1524,8.1693,20.8952,18.3486,2.4858,4.9685,0.4552,8.0775,1.6515
CD22,43.8484,87.0068,51.0295,13.0522,44.5743,24.6124,3.6271,39.9625,2.7203,48.3668,14.7142,136.7138,31.56,21.1321,11.7266,4.4524,10.8082,16.7271,14.2857,45.7958,13.3531,24.819,11.0159,14.9154,44.5135,14.9095,15.3631,20.3692,21.5385,37.1389,13.6476,22.779,15.1515,38.6139,10.5574,11.7543,9.3604,158.1109,814.966,5.3711,130.8551,19.8675,177.7778,26.3158,55.1839,16.4975,113.6584,53.9611,9.2879,14.0248,19.5853,15.3846,42.256,30.7658,58.0391,22.3407,12.2642,56.6038,19.4799,7.4377,69.4383,61.4149,0,29.605,4.3162,39.8126,97.171,10.9902,4.7337,3.3883,31.0479,7.8355,1.9724,53.3662,21.3992,2.4159,127.193,20.1005,1.8674,34.1691,8.7848,44.4318,33.6635,59.7229,603.8386,6.6338,7.1565,48.032,55.3647,83.0477,21.3105,12.7173,6.709,87.5576,9.8013,4.4754,1.6468,5.9307,2.6525,3.3656,9.1655,49.5356,35.3475,8.4958,25.4228,32.1264,26.2999,9.8793,43.7749,42.3387,10.6167,23.7632,21.5713,1.9617,3.1706,3.0303,9.9585,46.5601,12.3671,7.7946,59.3997,12.5923,8.9529,28.933,15.3899,33.9592,60.8501,21.2699,54.3275,124.6753,67.2361,57.031,38.8269,8.1693,124.4212,31.4548,14.9148,7.2872,68.7379,6.8659,6.6061
CD28,50.2341,192.9885,39.3912,36.1446,45.007,97.4649,9.6723,51.6183,12.5136,24.4975,18.1098,42.0227,50.4959,19.6226,27.497,19.5904,24.564,29.9327,24.4898,36.6366,43.0267,39.2968,19.5838,19.03,56.9358,37.2737,25.1397,32.0087,27.6923,31.6369,19.8511,27.3349,18.1818,18.8119,26.6047,2.3509,10.9204,30.8008,144.6712,32.7148,31.761,13.245,38.3838,26.3158,16.7224,25.3807,33.4289,45.9244,18.5759,6.473,17.2811,21.7949,106.8138,74.8094,20.0905,11.1703,20.7547,17.758,16.5579,32.7259,71.6497,16.2228,17.4148,13.3222,4.3162,31.6159,25.8303,5.4951,3.5503,6.7766,14.2303,11.7532,6.9034,17.2414,27.1605,7.2478,43.8596,18.1862,4.6685,26.5759,10.2489,30.7605,41.2649,3.3445,145.1772,27.8621,18.1298,45.8973,55.7688,32.9057,54.4602,10.1738,21.1864,93.0876,15.6094,13.4262,7.6849,29.1971,18.1256,10.6577,33.2851,0,61.6193,32.4838,83.078,63.7261,30.0571,16.4654,24.72,43.8508,15.1668,21.2879,14.7077,12.7513,15.8529,8.5859,20.8654,44.912,22.188,13.2967,82.1485,17.8029,21.7984,9.7927,26.6758,23.9712,46.9799,60.6819,75.3091,165.8009,86.3166,98.4065,75.5886,12.6253,49.3886,24.028,22.017,5.2998,10.47,11.3086,2.8902
